variable_name,notes,unit,values,classification_scheme,missing_data,required
sid,Serial identifier column. The column should facilitate comparisons between different versions of the database.,integer,integer value,none,not allowed - every column must have an identifier,TRUE
Country,Name of the country where the data is valid.,country name,free text,ISO 3166-1,"NA or NULL, depending on the context",TRUE
Region,Name of the region or city where the data is valid.,Region or city name,free text,none,"NA or NULL, depending on the context",TRUE
construction_period_start,"First year of the construction period specified for the dataset, inclusive. E.g. 1900 if ""1900 until 1920"" was provided.",,integer value,Gregorian calendar. https://en.wikipedia.org/wiki/Gregorian_calendar,"NA or NULL, depending on the context. For instance if the authors write ""<1900"", it is a 'NA' value.",TRUE
construction_period_end,"Last year of cosntruction period, exclusive",year,integer value,Gregorian calendar. https://en.wikipedia.org/wiki/Gregorian_calendar,"NA or NULL, depending on the context",TRUE
steel,Material intensity steel,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
copper,Material intensity copper,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
aluminum,Material intensity Aluminium,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
unspecified_metal,Material intensity for all other metals,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
wood,Material intensity wood,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
paper_cardboard,Material intensity paper and cardboard (summed),kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
straw,Material intensity straw,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
concrete,Material intensity concrete,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
cement,Material intensity cement,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
aggregates,"Material intensity of other aggregates, such as gravel, sand, slag",kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
brick,Material intensity brick,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
mortar_plaster,Material intensity of mortar and plaster,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
mineral_fill,Material intensity of mineral filling material,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
plaster_board_gypsum,Material intensity plaster boards and other gypsum,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
Adobe,Material intensity of adobe,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
Asphalt,Material intensity asphalt,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
Bitumen,Material intensity bitumen,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
natural_stone,Material intensity stone,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
cement_asbestos,Material intensity cement and asbestos,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
Clay,Material intensity clay,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
siding_unspecified,Material intensity other sidings,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
Ceramics,Material intensity ceramics,kg per squaremeter of gross floor area,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
